id,name,tier,tierName,line,family,type,attribute,rarity,emoji,hidden
liz,도롱이,0,성장기,liz,생물형,파충류형,grass,common,🦎,false
liz_fire1,불도마,1,성숙기,liz,생물형,파충류형,fire,common,🦎,false
liz_fire2,화염룡,2,완전체,liz,생물형,용형,fire,rare,🐉,false
liz_fire3,염제룡,3,궁극체,liz,신성·악마형,마왕형,fire,epic,🔥,false
liz_aqua1,물도마,1,성숙기,liz,생물형,수생형,water,common,🦎,false
liz_aqua2,해룡,2,완전체,liz,생물형,수생형,water,rare,🌊,false
liz_aqua3,해신룡,3,궁극체,liz,신성·악마형,신인형,water,epic,🐉,false
liz_wind1,바람도마,1,성숙기,liz,생물형,파충류형,wind,common,🦎,false
liz_wind2,비룡,2,완전체,liz,생물형,용형,wind,rare,🐲,false
liz_wind3,풍신룡,3,궁극체,liz,신성·악마형,신인형,wind,epic,🌀,false
liz_chaos3,공룡신,3,궁극체,liz,혼합·이형형,키메라형,neutral,legendary,🦖,false
fl,뽀짝이,0,성장기,fl,생물형,포유류형,grass,common,🐾,false
fl_beast1,늑대솜,1,성숙기,fl,생물형,야수형,grass,common,🐺,false
fl_beast2,사자수,2,완전체,fl,생물형,야수형,grass,rare,🦁,false
fl_beast3,백수왕,3,궁극체,fl,생물형,야수형,grass,epic,👑,false
fl_beast_god,신수 키메라,3,궁극체,fl,혼합·이형형,신수형,neutral,legendary,🦄,false
fl_holy1,날개솜,1,성숙기,fl,신성·악마형,천사형,wind,common,🪽,false
fl_holy2,천사수,2,완전체,fl,신성·악마형,천사형,light,rare,👼,false
fl_holy3,대천사,3,궁극체,fl,신성·악마형,대천사형,light,legendary,😇,false
sd,새싹이,0,성장기,sd,생물형,식물형,water,common,🌱,false
sd_tree1,잎새,1,성숙기,sd,생물형,식물형,water,common,🍃,false
sd_tree2,큰나무,2,완전체,sd,생물형,식물형,water,rare,🌳,false
sd_tree3,수호목,3,궁극체,sd,신성·악마형,성수형,grass,epic,🌲,false
sd_poison1,독꽃,1,성숙기,sd,생물형,식물형,water,common,🌺,false
sd_poison2,맹독초,2,완전체,sd,생물형,식물형,water,rare,☘️,false
sd_poison3,역병군주,3,궁극체,sd,신성·악마형,마왕형,dark,epic,☠️,false
rb,깡통이,0,성장기,rb,기계형,로봇형,earth,rare,🤖,false
rb_mech1,메카봇,1,성숙기,rb,기계형,로봇형,earth,rare,⚙️,false
rb_mech2,거대로봇,2,완전체,rb,기계형,거대로봇형,earth,epic,🦾,false
rb_mech3,강철신,3,궁극체,rb,기계형,순수기계형,earth,legendary,🛡️,false
rb_cyborg1,개조수,1,성숙기,rb,기계형,사이보그형,earth,rare,🦿,false
rb_cyborg2,강철병기,2,완전체,rb,기계형,병기형,earth,epic,💢,false
rb_cyborg3,파괴병기,3,궁극체,rb,기계형,병기형,earth,legendary,🚀,false
gh,도깨비불,0,성장기,gh,신성·악마형,정령형,fire,epic,👻,false
gh_angel1,빛요정,1,성숙기,gh,신성·악마형,천사형,light,epic,✨,false
